iteration,stream_idx,dino_score,clipI_score,image_file,model,judge_tag
1,0,0.7406558990478516,0.8038324117660522,iter01_stream00.png,Qwen-Image,gpt_5_nano
1,1,0.5882916450500488,0.7466639280319214,iter01_stream01.png,Qwen-Image,gpt_5_nano
1,2,0.6805747747421265,0.7649985551834106,iter01_stream02.png,Qwen-Image,gpt_5_nano
1,3,0.6010376811027527,0.7653566002845764,iter01_stream03.png,Qwen-Image,gpt_5_nano
1,4,0.7492039203643799,0.7111528515815735,iter01_stream04.png,Qwen-Image,gpt_5_nano
1,5,0.6115825176239014,0.7051143646240234,iter01_stream05.png,Qwen-Image,gpt_5_nano
2,0,0.6994891166687012,0.7603199481964111,iter02_stream00.png,Qwen-Image,gpt_5_nano
2,1,0.7312934994697571,0.6986323595046997,iter02_stream01.png,Qwen-Image,gpt_5_nano
2,2,0.7124162912368774,0.7053084969520569,iter02_stream02.png,Qwen-Image,gpt_5_nano
2,3,0.7443917989730835,0.803030252456665,iter02_stream03.png,Qwen-Image,gpt_5_nano
2,4,0.6561357378959656,0.7722165584564209,iter02_stream04.png,Qwen-Image,gpt_5_nano
2,5,0.5723822116851807,0.7447212338447571,iter02_stream05.png,Qwen-Image,gpt_5_nano
3,0,0.6306719779968262,0.7056692242622375,iter03_stream00.png,Qwen-Image,gpt_5_nano
3,1,0.645587682723999,0.678657054901123,iter03_stream01.png,Qwen-Image,gpt_5_nano
3,2,0.6468813419342041,0.7149051427841187,iter03_stream02.png,Qwen-Image,gpt_5_nano
3,3,0.5939394235610962,0.7691230773925781,iter03_stream03.png,Qwen-Image,gpt_5_nano
3,4,0.7639423608779907,0.804838240146637,iter03_stream04.png,Qwen-Image,gpt_5_nano
3,5,0.5501784086227417,0.6628267765045166,iter03_stream05.png,Qwen-Image,gpt_5_nano
4,0,0.5501755475997925,0.7039370536804199,iter04_stream00.png,Qwen-Image,gpt_5_nano
4,1,0.6810002326965332,0.7340905666351318,iter04_stream01.png,Qwen-Image,gpt_5_nano
4,2,0.7414795160293579,0.7414730191230774,iter04_stream02.png,Qwen-Image,gpt_5_nano
4,3,0.609425961971283,0.7715291976928711,iter04_stream03.png,Qwen-Image,gpt_5_nano
4,4,0.6493864059448242,0.7193342447280884,iter04_stream04.png,Qwen-Image,gpt_5_nano
4,5,0.6813825368881226,0.6875797510147095,iter04_stream05.png,Qwen-Image,gpt_5_nano
5,0,0.714663565158844,0.7826797962188721,iter05_stream00.png,Qwen-Image,gpt_5_nano
5,1,0.6035027503967285,0.6692464351654053,iter05_stream01.png,Qwen-Image,gpt_5_nano
5,2,0.7029272317886353,0.6967335939407349,iter05_stream02.png,Qwen-Image,gpt_5_nano
5,3,0.5181663036346436,0.5945107340812683,iter05_stream03.png,Qwen-Image,gpt_5_nano
5,4,0.6851861476898193,0.6894038319587708,iter05_stream04.png,Qwen-Image,gpt_5_nano
5,5,0.513437032699585,0.6560113430023193,iter05_stream05.png,Qwen-Image,gpt_5_nano
1,0,0.7715643644332886,0.8585818409919739,iter01_stream00.png,Flux1,gpt_4o_mini
1,1,0.8117561340332031,0.8855019807815552,iter01_stream01.png,Flux1,gpt_4o_mini
1,2,0.8205064535140991,0.8412042856216431,iter01_stream02.png,Flux1,gpt_4o_mini
1,3,0.7784210443496704,0.8778642416000366,iter01_stream03.png,Flux1,gpt_4o_mini
1,4,0.7739962339401245,0.8467309474945068,iter01_stream04.png,Flux1,gpt_4o_mini
1,5,0.745984673500061,0.8928828239440918,iter01_stream05.png,Flux1,gpt_4o_mini
2,0,0.7840275168418884,0.8812716007232666,iter02_stream00.png,Flux1,gpt_4o_mini
2,1,0.7109181880950928,0.9152761697769165,iter02_stream01.png,Flux1,gpt_4o_mini
2,2,0.7925151586532593,0.7681434154510498,iter02_stream02.png,Flux1,gpt_4o_mini
2,3,0.7475630640983582,0.8319143056869507,iter02_stream03.png,Flux1,gpt_4o_mini
2,4,0.7754440307617188,0.8305561542510986,iter02_stream04.png,Flux1,gpt_4o_mini
2,5,0.8191156387329102,0.7719199657440186,iter02_stream05.png,Flux1,gpt_4o_mini
3,0,0.776383101940155,0.7695416808128357,iter03_stream00.png,Flux1,gpt_4o_mini
3,1,0.7897303104400635,0.8253241777420044,iter03_stream01.png,Flux1,gpt_4o_mini
3,2,0.7754630446434021,0.8249046802520752,iter03_stream02.png,Flux1,gpt_4o_mini
3,3,0.855495810508728,0.8113127946853638,iter03_stream03.png,Flux1,gpt_4o_mini
3,4,0.8033804893493652,0.8137872219085693,iter03_stream04.png,Flux1,gpt_4o_mini
3,5,0.830086350440979,0.8273888826370239,iter03_stream05.png,Flux1,gpt_4o_mini
4,0,0.6976062059402466,0.7717649340629578,iter04_stream00.png,Flux1,gpt_4o_mini
4,1,0.7158703804016113,0.8543314933776855,iter04_stream01.png,Flux1,gpt_4o_mini
4,2,0.667386531829834,0.7499532699584961,iter04_stream02.png,Flux1,gpt_4o_mini
4,3,0.6662275791168213,0.8030251860618591,iter04_stream03.png,Flux1,gpt_4o_mini
4,4,0.7950649857521057,0.8486244678497314,iter04_stream04.png,Flux1,gpt_4o_mini
4,5,0.7754877805709839,0.814689040184021,iter04_stream05.png,Flux1,gpt_4o_mini
5,0,0.7610268592834473,0.8246784210205078,iter05_stream00.png,Flux1,gpt_4o_mini
5,1,0.7837505340576172,0.8270419836044312,iter05_stream01.png,Flux1,gpt_4o_mini
5,2,0.7317017912864685,0.8108588457107544,iter05_stream02.png,Flux1,gpt_4o_mini
5,3,0.6720051765441895,0.7842249274253845,iter05_stream03.png,Flux1,gpt_4o_mini
5,4,0.662584662437439,0.839599609375,iter05_stream04.png,Flux1,gpt_4o_mini
5,5,0.8473353981971741,0.8607977628707886,iter05_stream05.png,Flux1,gpt_4o_mini
1,0,0.5854093432426453,0.7459884881973267,iter01_stream00.png,Gemini,gpt_4o_mini
1,1,0.6673856973648071,0.8332446813583374,iter01_stream01.png,Gemini,gpt_4o_mini
